XSDQTOBWRPYKKA-UHFFFAOYSA-N	A:C,B:C03,C:C03D,D:C03DB,E:C03DB01
GCKFUYQCUCGESZ-BPIQYHPVSA-N	A:G,B:G03,C:G03A,D:G03AC,E:G03AC08
FLNXBVJLPJNOSI-UHFFFAOYSA-N	A:R,B:R05,C:R05D,D:R05DB,E:R05DB21
SBUJHOSQTJFQJX-NOAMYHISSA-N	A:A,A:J,A:S,B:A07,B:J01,B:S01,C:A07A,C:J01G,C:S01A,D:A07AA,D:J01GB,D:S01AA,E:A07AA08,E:J01GB04,E:S01AA24
ZQBAKBUEJOMQEX-UHFFFAOYSA-N	A:G,B:G04,C:G04B,D:G04BX,E:G04BX12
RLQVKDVIBJCQGE-WDUCDQOOSA-N	A:H,B:H02,C:H02C,D:H02CA,E:H02CA01
VYVKHNNGDFVQGA-UHFFFAOYSA-N	A:A,B:A03,C:A03A,D:A03AA,E:A03AA04
WUBBRNOQWQTFEX-UHFFFAOYSA-N	A:J,B:J04,C:J04A,D:J04AA,E:J04AA01,E:J04AA02,E:J04AA03
YVUQSNJEYSNKRX-UHFFFAOYSA-N	A:N,B:N05,C:N05A,D:N05AG,E:N05AG02
VVWYOYDLCMFIEM-UHFFFAOYSA-N	A:A,B:A03,C:A03A,C:A03C,D:A03AB,D:A03CA,E:A03AB05,E:A03CA34
YVPYQUNUQOZFHG-UHFFFAOYSA-N	A:V,B:V08,C:V08A,D:V08AA,E:V08AA01
MNDBXUUTURYVHR-UHFFFAOYSA-N	A:R,B:R03,C:R03D,D:R03DX,E:R03DX07
KKHPNPMTPORSQE-UHFFFAOYSA-N	A:D,A:R,B:D04,B:R06,C:D04A,C:R06A,D:D04AA,D:R06AA,E:D04AA34,E:R06AA06,E:R06AA56
ABJKWBDEJIDSJZ-UHFFFAOYSA-N	A:D,B:D01,C:D01A,D:D01AE,E:D01AE23
WOXKDUGGOYFFRN-IIBYNOLFSA-N	A:G,B:G04,C:G04B,D:G04BE,E:G04BE08
UIOFUWFRIANQPC-JKIFEVAISA-N	A:J,B:J01,C:J01C,D:J01CF,D:J01CR,E:J01CF05,E:J01CR50
WVVSZNPYNCNODU-XTQGRXLLSA-N	A:G,B:G02,C:G02A,D:G02AB,E:G02AB03
FPCCSQOGAWCVBH-UHFFFAOYSA-N	A:C,B:C02,C:C02K,D:C02KD,E:C02KD01
MDKGKXOCJGEUJW-UHFFFAOYSA-N	A:M,B:M01,C:M01A,D:M01AE,E:M01AE07
WEYVCQFUGFRXOM-UHFFFAOYSA-N	A:N,B:N05,C:N05A,D:N05AB,E:N05AB10
SBNPWPIBESPSIF-MHWMIDJBSA-N	A:H,B:H01,C:H01C,D:H01CC,E:H01CC02
JAPHQRWPEGVNBT-UTUOFQBUSA-N	A:J,B:J01,C:J01D,D:J01DC,E:J01DC08
IXHBTMCLRNMKHZ-LBPRGKRZSA-N	A:S,B:S01,C:S01E,D:S01ED,E:S01ED03
WPNJAUFVNXKLIM-UHFFFAOYSA-N	A:C,B:C02,C:C02A,C:C02L,D:C02AC,D:C02LC,E:C02AC05,E:C02LC05
QUIJNHUBAXPXFS-XLJNKUFUSA-N	A:J,B:J04,C:J04A,D:J04AK,E:J04AK05
QSLJIVKCVHQPLV-PEMPUTJUSA-N	A:A,B:A14,C:A14A,D:A14AA,E:A14AA08
DEQANNDTNATYII-OULOTJBUSA-N	A:H,B:H01,C:H01C,D:H01CB,E:H01CB02
XUIIKFGFIJCVMT-LBPRGKRZSA-N	A:H,B:H03,C:H03A,D:H03AA,E:H03AA01
NTHXOOBQLCIOLC-UHFFFAOYSA-N	A:V,B:V08,C:V08A,D:V08AB,E:V08AB02
WIKYUJGCLQQFNW-UHFFFAOYSA-N	A:N,B:N05,C:N05A,D:N05AB,E:N05AB04
SLRCCWJSBJZJBV-AJNGGQMLSA-N	A:C,B:C01,C:C01B,D:C01BA,E:C01BA04
WWYNJERNGUHSAO-XUDSTZEESA-N	A:G,B:G03,C:G03A,C:G03F,D:G03AA,D:G03AB,D:G03AC,D:G03AD,D:G03FA,D:G03FB,E:G03AA07,E:G03AB03,E:G03AC03,E:G03AD01,E:G03FA11,E:G03FB09
NMCHYWGKBADVMK-UHFFFAOYSA-N	A:N,A:R,B:N06,B:R03,C:N06B,C:R03D,D:N06BA,D:R03DA,E:N06BA10,E:R03DA20
SAADBVWGJQAEFS-UHFFFAOYSA-N	A:N,B:N05,C:N05C,D:N05CD,E:N05CD01
XUIIKFGFIJCVMT-GFCCVEGCSA-N	A:C,B:C10,C:C10A,D:C10AX,E:C10AX01
