inchikey	name	is_drug	evidence	moa	support	lpv_5	lpv_4	lpv_3	top1_inchikey	top2_inchikey	top3_inchikey	top1_name	top2_name	top3_name
SRAYJSYVBOONEG-UHFFFAOYSA-N	Dimethyl 2-(2-Phenylsulfanylethyl)Propanedioate	0	-2	-2	8	0	1	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
IHNVIGMYLGNLIA-UHFFFAOYSA-N	Ethyl 6-Bromo-4,5-Dihydroxy-1,2-Dimethyl-1H-Indole-3-Carboxylate	0	-2	-2	8	0	1	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
QOKRJIBOZKKPGI-UHFFFAOYSA-N	Mls000590260	0	-2	-2	8	0	1	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
BFIKLHXDWFMYBY-UHFFFAOYSA-N	Molport-000-792-609	0	-2	-2	8	0	1	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
HVHPQMBRWAKQKF-UHFFFAOYSA-N	Mls000705141	0	-2	-2	8	0	1	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
BFSYAUDLEXXAIE-UHFFFAOYSA-N	Ethyl 6-Bromo-5-Hydroxy-2-[(4-Methylpiperazin-1-Yl)Methyl]-1-Phenyl-1H-Indole-3-Carboxylate	0	-2	-2	8	0	1	1	KCFYEAOKVJSACF-UHFFFAOYSA-N	XADCESSVHJOZHK-UHFFFAOYSA-N		Umifenovir	Meperidine	
VQLRVXZDJJOJTH-UHFFFAOYSA-N	Ac1Meqvk	0	-2	-2	8	0	1	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
XSEFYLDFHLGDAZ-UHFFFAOYSA-N	Smr000176614	0	-2	-2	8	0	1	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
CMTULHRFXGBDFD-UHFFFAOYSA-N	Mls000104366	0	-2	-2	8	0	1	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
YZAYXGOGUNAVBL-UHFFFAOYSA-N	Chembl3260688	0	-2	-2	8	0	1	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
PXXBAGPRDBVGPA-UHFFFAOYSA-N	Mls000536338	0	-2	-2	8	0	1	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
LLZKFUCDAATXRC-UHFFFAOYSA-N	Smr000041434	0	-2	-2	8	0	1	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
WVVNFQKEGWCRFU-UHFFFAOYSA-N	Mls000559927	0	-2	-2	8	0	1	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
GEQORWFVFVYZQD-UHFFFAOYSA-N	Chembl3260691	0	-2	-2	8	0	1	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
UBMIKLUSHCSWBA-UHFFFAOYSA-N	CID29155747	0	-2	-2	8	0	1	1	KCFYEAOKVJSACF-UHFFFAOYSA-N	ACGUYXCXAPNIKK-UHFFFAOYSA-N		Umifenovir	Hexachlorophene	
MQHUFUXBAXMQAM-UHFFFAOYSA-N	MQHUFUXBAXMQAM-UHFFFAOYSA-N	0	-2	-2	8	0	1	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
XUTSPRNFWFULEQ-UHFFFAOYSA-N	Smr000036143	0	-2	-2	8	0	1	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
CXCWEVZTMHDHDI-UHFFFAOYSA-N	Ethyl 4-[(Dimethylamino)Methyl]-5-Hydroxy-1,2-Dimethyl-1H-Indole-3-Carboxylate	0	-2	-2	8	0	1	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
DZNUGTAORJCSFT-UHFFFAOYSA-N	Ac1M7Nbe	0	-2	-2	8	0	1	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
DYDZJJIFDLQOAX-UHFFFAOYSA-N	Mls000729277	0	-2	-2	8	0	1	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
CEWHGTOGQLLMTK-UHFFFAOYSA-N	CID24205842	0	-2	-2	8	0	1	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
FTBSQBKUYKATOD-UHFFFAOYSA-N	Ac1Lcxwo	0	-2	-2	8	0	1	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
ITOIFNLYKDMKOA-UHFFFAOYSA-N	Smr000123935	0	-2	-2	8	0	1	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
OPXJWUMCOASDQH-UHFFFAOYSA-N	F0745-0384	0	-2	-2	8	0	1	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
TTWDUMRLHQJUFV-UHFFFAOYSA-N	1,4-Bis(Phenylsulfanylmethyl)Benzene	0	-2	-2	8	0	1	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
QOMJXOZGZZSHKH-UHFFFAOYSA-N	Mls000591681	0	-2	-2	8	0	1	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
DCACUALOKCQKSV-UHFFFAOYSA-N	Chembl3260687	0	-2	-2	8	0	1	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
IMBFQSVRAQORJX-UHFFFAOYSA-N	Chembl3260682	0	-2	-2	8	0	1	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
RJXSUDNVAHALJK-UHFFFAOYSA-N	Chemdiv1_010450	0	-2	-2	8	0	1	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
OGIYSCPAAKBDBK-UHFFFAOYSA-N	Chembl3260685	0	-2	-2	8	0	1	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
YABICWGRDOCOPQ-UHFFFAOYSA-N	Smr000020597	0	-2	-2	8	0	1	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
VZWKDYHNAFXALD-UHFFFAOYSA-N	Mls001029434	0	-2	-2	8	0	1	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
MBGJCPFICKYQPF-UHFFFAOYSA-N	MBGJCPFICKYQPF-UHFFFAOYSA-N	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
XFFNEQAANDROFF-UHFFFAOYSA-N	Mls000334331	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
JDZUSQRPHGPYTI-UHFFFAOYSA-N	Ac1Lpymx	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
NLLQNXSGUDBXRT-UHFFFAOYSA-N	Stk235566	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
FAEJFYNQWIHUQJ-UHFFFAOYSA-N	Smr000197383	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
CICOZWHZVMOPJS-UHFFFAOYSA-N	20640-68-0	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
LQDRZORSPLRALP-UHFFFAOYSA-N	Chembl2441904	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
ZACQZPFYAPCEBH-UHFFFAOYSA-N	Mls000538498	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
NYDCTQAKUDECSW-UHFFFAOYSA-N	5M-346S	0	-2	-2	4	0	0	1	FOQRKFCLRMMKAT-UHFFFAOYSA-N	KCFYEAOKVJSACF-UHFFFAOYSA-N		Pd144418	Umifenovir	
RXHDZNNTRRFABJ-UHFFFAOYSA-N	Chembl425954	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
JYLBWKWLECJJOJ-UHFFFAOYSA-N	Molport-000-804-532	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
AMAGYMMOMFURAL-UHFFFAOYSA-N	F2537-1269	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
MDGLBXLWXXWTIJ-UHFFFAOYSA-N	Nsc88852	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N	DOMXUEMWDBAQBQ-UHFFFAOYSA-N		Umifenovir	Terbinafine	
SHVNKFLMTVCAFS-UHFFFAOYSA-N	Bas 01918477	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
