inchikey	name	is_drug	evidence	moa	support	lpv_5	lpv_4	lpv_3	top1_inchikey	top2_inchikey	top3_inchikey	top1_name	top2_name	top3_name
HTJQFBOZQJFYDR-UHFFFAOYSA-N	Chembl198331	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
NUVMBGUAJRRXST-UHFFFAOYSA-N	Bdbm50016648	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
WPSVXPRETAQLAB-SREIQFSDSA-N	Chembl69769	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
CLDJCRWXLDLJLO-UHFFFAOYSA-N	Ad-5467	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
AAVOEDYCRXZYKX-UHFFFAOYSA-N	Chembl297483	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
VIAHQDYTSXHVMJ-UHFFFAOYSA-N	Chembl286858	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
MVDAJCXOQBRPQC-UHFFFAOYSA-N	Chembl372193	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
PGZJCJSDIXEXLY-UHFFFAOYSA-N	Chembl61955	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
HWMWVFJUTRXUNA-SREIQFSDSA-N	Chembl303474	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
HOTVVNUMYVBTHN-UHFFFAOYSA-N	Chembl142647	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
IYCRWFVECZGJNO-UHFFFAOYSA-N	Chembl66637	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
SFABNCUJDPLZGV-UHFFFAOYSA-N	Chembl66476	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
ZTHVOUBQLKCDHN-UHFFFAOYSA-N	Chembl161043	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
VCIKOFNZHVBBEO-UHFFFAOYSA-N	Chembl1946965	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
RBFMXSCFUBMKHQ-UHFFFAOYSA-N	RBFMXSCFUBMKHQ-UHFFFAOYSA-N	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
KIQWCLYGOZDPJC-UHFFFAOYSA-N	Chembl110849	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
LSCHLGLZRJDCHN-UHFFFAOYSA-N	Chembl1668045	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
GGSDCOASHFUHDF-WEVVVXLNSA-N	Chembl2260163	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
AWYKKLWCTAPMDK-UHFFFAOYSA-N	6-(Benzothiazole-2-Sulfonyl)-2H-Pyridazin-3-One	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
GMKLOAOWOJRHSF-UHFFFAOYSA-N	Chembl323390	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
GHYVVUAWEAOHGR-UHFFFAOYSA-N	Chembl159413	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
DVKVFPWCOVZHSI-UHFFFAOYSA-N	Chembl370444	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
OEZBOMQUGSTKSP-REZKKALRSA-N	Chembl308882	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
VCRJGDMIXXMMSM-UHFFFAOYSA-N	Chembl241367	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
GRTKVYMVNMSUQV-UHFFFAOYSA-N	Schembl7458914	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
YFEMXNMSQVETGA-FLFQWRMESA-N	YFEMXNMSQVETGA-FLFQWRMESA-N	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
JOGGJDKLNQCAQJ-UHFFFAOYSA-N	Chembl371914	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
DKOMYYMPAHVEPN-QDEBKDIKSA-N	Chembl476198	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
CJEMVAAEQWZJFG-UHFFFAOYSA-N	St50630743	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
FXFPQPNUMWQRAO-UHFFFAOYSA-N	6-[(5-CHLORO-3-METHYL-1-BENZOFURAN-2-YL)SULFONYL]PYRIDAZIN-3(2H)-ONE	1	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
DPDOABOONBUWMC-UHFFFAOYSA-N	Chembl240721	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
ABPAJGQYMSRKLV-UHFFFAOYSA-N	Chembl1946959	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
RIZZFSBARAUMFG-UHFFFAOYSA-N	Chembl109497	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
PBJWOZLKMABXIV-UHFFFAOYSA-N	Chembl63527	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
QUBABKJOUGUHAK-UHFFFAOYSA-N	Chembl283996	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
XPQLLXHISGLZKA-UHFFFAOYSA-N	Chembl20884	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
UAHSXUKOQGHLFG-UHFFFAOYSA-N	Chembl273484	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
FVRHUIKDBDFAPI-UHFFFAOYSA-N	Chembl20009	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
AXGZEJAPZLZJRW-UHFFFAOYSA-N	Ac1Oga2A	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
AUJSEOPMWKDXKM-UHFFFAOYSA-N	Chembl151952	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
YXWJUICETUIVMU-UHFFFAOYSA-N	Chembl63429	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
IMQKCRFXBQXONP-UHFFFAOYSA-N	Chembl66006	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
UWYXUWTWABPVGW-SREIQFSDSA-N	Chembl65967	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
QBQUUVFMUNTIDP-UHFFFAOYSA-N	Chembl363415	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
GPDJBSXMCKRELI-UHFFFAOYSA-N	Chembl431108	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
RQSXAKYHCNGAIH-UHFFFAOYSA-N	Chembl357435	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
DKLAMAQHLQNIHP-UHFFFAOYSA-N	Chembl140375	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
QBQAVWVRMZYUGW-UHFFFAOYSA-N	Schembl420815	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
NHJYISUWMXIZTK-UHFFFAOYSA-N	Schembl445833	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
CEWXQDZUXMFABW-HZLSWQDRSA-N	Chembl3098360	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
WTSKOSDWKCOHNR-UHFFFAOYSA-N	CID23621307	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
YAKLHRCDDYEKID-UHFFFAOYSA-N	Schembl443930	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
ONFGSVXSCSLFIA-UHFFFAOYSA-N	Nsc627208	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
HYUVGLWAXURPHU-UHFFFAOYSA-N	Stk398824	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
IFJLHPSUTVVIOI-UHFFFAOYSA-N	Chembl20004	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
YWQMHUNEWPSKBF-JTQLQIEISA-N	1-[(S)-1-Phenylethyl]-2,5-Dihydro-4-Hydroxy-5-Oxo-1H-Pyrrole-3-Carboxylic Acid Ethyl Ester	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
LUBHDINQXIHVLS-UHFFFAOYSA-N	Tolrestat	1	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
JFCAIUYRRZCNPW-UHFFFAOYSA-N	Schembl420994	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
KGJVNPZGEPQUFJ-UHFFFAOYSA-N	N-(2-Fluoro-5-Nitrophenyl)-2-[(4-Methyl-1,3-Thiazol-2-Yl)Sulfanyl]Acetamide	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
SWKKKQCTKMAWMV-UHFFFAOYSA-N	Chembl284988	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
RWEUZGIZWUOOCM-UHFFFAOYSA-N	Chembl304050	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
YVKRZUQMTWLNJF-DAROEXNTSA-N	Chembl69586	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
NIYAZDNHBFAEIA-UHFFFAOYSA-N	Chembl3422330	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
NJOPJRLSIOYKDW-UHFFFAOYSA-N	Chembl417643	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
QEQGIVVMPNNCOY-LCUIJRPUSA-N	QEQGIVVMPNNCOY-LCUIJRPUSA-N	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
XYIUNVBJJDHGAH-UHFFFAOYSA-N	CID13312649	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
FHUFPSCNOIGXPM-UHFFFAOYSA-N	Chembl306244	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
QBQZUKSEKXJYCS-UHFFFAOYSA-N	Chembl1944858	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
ZMUWEJOPTWSFKR-UHFFFAOYSA-N	Nsc626983	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
UGZIZVNAMYQDDG-UHFFFAOYSA-N	Chembl65757	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
MDBIKXOWYYWEEX-UHFFFAOYSA-N	St50668888	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
TYAXJJIALDRUSQ-UHFFFAOYSA-N	CID13312651	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
CKFALBKFAWADSG-UHFFFAOYSA-N	Chembl143387	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
IZFXTCQBFZQKFW-UHFFFAOYSA-N	Chembl191951	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
IYBAAOLGIVUSAR-UHFFFAOYSA-N	Chembl287152	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
CZDSQEFDQQFLLQ-UHFFFAOYSA-N	Mls000335393	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
OOZHFYDENDULFV-UHFFFAOYSA-N	Chembl138065	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
PICCQCWBQAQOHS-UHFFFAOYSA-N	Chembl72752	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
WNMNUEAZYZPNHX-UHFFFAOYSA-N	Bdbm50016643	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
YMVNEILYTLOGPY-UHFFFAOYSA-N	1-(2-Chlorobenzyl)-2,5-Dihydro-4-Hydroxy-5-Oxo-1H-Pyrrole-3-Carboxylic Acid Ethyl Ester	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
JAOFNJJQKQITIC-UHFFFAOYSA-N	Chembl20220	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
CDWSQWCRQNBXLX-UHFFFAOYSA-N	Schembl419035	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
NZOWEJGMZYPDQD-UHFFFAOYSA-N	Chembl69716	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
FVRPXJFCURFPPW-UHFFFAOYSA-N	Chembl282263	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
IVYSZMWQEYJFMR-DOTOQJQBSA-N	Chembl304797	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
NMHHNPWLUQHYRQ-XLKFXECMSA-N	Chembl69646	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
HUXFTBDIUUZFRV-UHFFFAOYSA-N	Benzothiophene, 21	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
UAHVJTGPSLMIDJ-UHFFFAOYSA-N	Chembl150198	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
WUOYHDFVMIJVMB-UHFFFAOYSA-N	Bdbm50016633	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
WTDCITYAOVFRGK-UHFFFAOYSA-N	Chembl3259823	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
GIUHZKVBALEXFS-DYTRJAOYSA-N	Chembl135144	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
APOYITXPNFORST-UHFFFAOYSA-N	Chembl2261303	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
WUVITTIOKIBHOW-UHFFFAOYSA-N	Methyl 1-Benzyl-4-Hydroxy-5-Oxo-2,5-Dihydro-1H-Pyrrole-3-Carboxylate	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
XUSWEPAQYWTNKX-UHFFFAOYSA-N	Chembl77601	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
AMJKSWMIEPADRT-UHFFFAOYSA-N	Chembl283172	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
FHXLPRNZCWBHPD-UHFFFAOYSA-N	Chembl170943	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
WQAXNTYEDLMMQI-UHFFFAOYSA-N	Chembl1673031	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
LEBBTVSIKGGRGD-UHFFFAOYSA-N	CID13312639	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
KPUWBWBNAUTTPX-UHFFFAOYSA-N	Chembl140042	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
GXYLQKGHRLRVOB-UHFFFAOYSA-N	Chembl344845	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
MISLYZFVZINWIX-UHFFFAOYSA-N	CID44273138	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
JPPGUHDVKJCXQI-UHFFFAOYSA-N	Chembl284018	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
KWWKVMDNXVTDAI-UHFFFAOYSA-N	Chembl110661	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
LQEACWFBKKDVAP-UHFFFAOYSA-N	Chembl142274	0	-2	-2	4	0	0	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
