inchikey,name,is drug,evidence,moa,support,p 1e-5,p 1e-4,p 1e-3,top1_inchikey,top2_inchikey,top3_inchikey,top1_name,top2_name,top3_name
GLCVDCSFYPBHAG-CXUHLZMHSA-N,GLCVDCSFYPBHAG-CXUHLZMHSA-N,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
ONPOPEWXBCFDHK-UHFFFAOYSA-N,Stk498681,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
RBCPBVNYTIFDIR-RIYZIHGNSA-N,Smr000220152,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
HSJFYRYGGKLQBT-UHFFFAOYSA-N,Guacetisal,1,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
QULPZAWZSPGYTL-UHFFFAOYSA-N,"Triazole, 3F",0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
VIEYFPWEDRGBIV-UHFFFAOYSA-N,Mls000335890,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
QHZJAUSBDCWJCS-UHFFFAOYSA-N,Mls001179954,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
ZWWBCSYBOLNQBB-UHFFFAOYSA-N,Chembl1927294,0,-2,-2,4,0,0,1,RJMUSRYZPJIFPJ-UHFFFAOYSA-N,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,Niclosamide,Levamisole,
QAGBAWCZEZFFDW-UHFFFAOYSA-N,Mls000552302,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
DYEGEEMFKJLIAG-UHFFFAOYSA-N,Chembl561530,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
