inchikey,name,is drug,evidence,moa,support,p 1e-5,p 1e-4,p 1e-3,top1_inchikey,top2_inchikey,top3_inchikey,top1_name,top2_name,top3_name
WPSVXPRETAQLAB-SREIQFSDSA-N,Chembl69769,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
HOTVVNUMYVBTHN-UHFFFAOYSA-N,Chembl142647,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
YFEMXNMSQVETGA-FLFQWRMESA-N,YFEMXNMSQVETGA-FLFQWRMESA-N,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
RQWICELTTDJODO-UHFFFAOYSA-N,{3-[(5-CHLORO-13-BENZOTHIAZOL-2-YL)METHYL]-24-DIOXO-34-DIHYDROPYRIMIDIN-1(2H)-YL}ACETIC ACID,1,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
VCIKOFNZHVBBEO-UHFFFAOYSA-N,Chembl1946965,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
DKOMYYMPAHVEPN-QDEBKDIKSA-N,Chembl476198,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
BKRDNNYPPJENDC-ZDUSSCGKSA-N,Chembl67264,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
DPDOABOONBUWMC-UHFFFAOYSA-N,Chembl240721,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
GRRJKIHFPJNRRX-UHFFFAOYSA-N,Chembl29427,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
QWXSGSDKGGYSSJ-UHFFFAOYSA-N,Chembl294664,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
